"","age_upon_outcome","animal_id","animal_type","breed","color","date_of_birth","datetime","monthyear","name","outcome_subtype","outcome_type","sex_upon_outcome","location_lat","location_long","age_upon_outcome_in_weeks"
"641","13 years","A665244","Dog","Miniature Poodle Mix","Brown",2000-10-15,2013-10-15 17:23:00,"2013-10-15T17:23:00","Latte","Suffering","Euthanasia","Neutered Male",30.374341552062,-97.3655215433282,678.389186507937
"642","4 years","A755418","Dog","Bulldog","Brown/White",2013-08-03,2017-08-13 12:41:00,"2017-08-13T12:41:00","Sonny","","Return to Owner","Intact Male",30.3582187744991,-97.4973399604985,210.218353174603
"643","7 years","A688425","Dog","Chihuahua Shorthair Mix","Black",2007-09-23,2014-09-24 16:49:00,"2014-09-24T16:49:00","Jingles","","Adoption","Neutered Male",30.6537895701921,-97.2959086942103,365.528670634921
"644","1 year","A669526","Other","Bat Mix","Brown",2012-12-21,2013-12-22 09:20:00,"2013-12-22T09:20:00","","Rabies Risk","Euthanasia","Unknown",30.4333784473808,-97.6113762898997,52.3412698412698
"645","1 year","A758197","Dog","Yorkshire Terrier/Pomeranian","Red",2016-09-12,2017-09-17 17:04:00,"2017-09-17T17:04:00","Bella","","Adoption","Spayed Female",30.5957513132272,-97.2771136698565,52.9587301587302
"646","2 years","A701554","Dog","American Staffordshire Terrier/Australian Cattle Dog","Black/White",2013-05-01,2016-01-18 12:22:00,"2016-01-18T12:22:00","Kahlua","Partner","Transfer","Spayed Female",30.2880282009728,-97.2456024118925,141.787896825397
"647","11 months","A655329","Dog","Jack Russell Terrier Mix","White/Tan",2012-11-30,2013-11-15 16:24:00,"2013-11-15T16:24:00","*Frisco","Partner","Transfer","Neutered Male",30.3579075570409,-97.5856705115016,50.097619047619
"648","3 years","A726005","Dog","Boston Terrier Mix","Black/White",2013-05-05,2016-05-05 11:37:00,"2016-05-05T11:37:00","Ace","","Return to Owner","Neutered Male",30.3421970154049,-97.3281908461235,156.640575396825
"649","2 years","A731987","Dog","Labrador Retriever Mix","Black/Brown",2014-07-30,2016-08-03 19:06:00,"2016-08-03T19:06:00","Karma","","Return to Owner","Spayed Female",30.3844400639052,-97.3876000891316,105.11369047619
"650","2 years","A695706","Cat","Domestic Shorthair Mix","Black/White",2013-01-20,2015-01-21 09:00:00,"2015-01-21T09:00:00","","SCRP","Transfer","Unknown",30.3994685103346,-97.7331137041606,104.482142857143
"651","6 years","A644301","Dog","Chihuahua Shorthair Mix","Black",2007-12-23,2014-11-17 11:20:00,"2014-11-17T11:20:00","Cloy","","Return to Owner","Neutered Male",30.2838018573292,-97.5352218455658,360.210317460317
"652","1 weeks","A752193","Other","Opossum Mix","White/Gray",2017-06-10,2017-06-19 16:15:00,"2017-06-19T16:15:00","","Suffering","Euthanasia","Unknown",30.3617433474313,-97.2709570245284,1.38244047619048
"653","2 months","A669834","Dog","German Shepherd Mix","Black/Cream",2013-10-21,2013-12-28 14:06:00,"2013-12-28T14:06:00","","Partner","Transfer","Intact Female",30.6344751735052,-97.6054313037428,9.79821428571429
"654","2 years","A716628","Cat","Domestic Longhair Mix","Brown Tabby",2013-11-22,2015-11-27 15:00:00,"2015-11-27T15:00:00","Cabbage","","Return to Owner","Spayed Female",30.7636245366957,-97.5394629960871,105.089285714286
"655","2 years","A706201","Cat","Siamese Mix","Seal Point",2013-06-26,2015-06-26 13:01:00,"2015-06-26T13:01:00","","Rabies Risk","Euthanasia","Intact Male",30.3153534640782,-97.4589059775111,104.363194444444
"656","1 year","A751270","Dog","Doberman Pinsch Mix","Black/Brown",2016-06-06,2017-06-28 17:51:00,"2017-06-28T17:51:00","Bruce","","Adoption","Neutered Male",30.3723904476701,-97.6512710678799,55.3919642857143
"657","1 year","A724769","Cat","Domestic Shorthair Mix","Calico",2015-04-21,2016-04-30 15:00:00,"2016-04-30T15:00:00","*Toula","","Adoption","Spayed Female",30.6700393381223,-97.3600277400252,53.6607142857143
"658","1 month","A735963","Cat","Domestic Medium Hair Mix","Black/White",2016-09-02,2016-10-13 00:00:00,"2016-10-13T00:00:00","*Norris","Partner","Transfer","Intact Male",30.5711047511988,-97.6354745729265,5.85714285714286
"659","1 year","A666763","Dog","Chihuahua Shorthair","Chocolate/Tan",2012-05-06,2013-11-22 11:33:00,"2013-11-22T11:33:00","*Cocoa","Partner","Transfer","Spayed Female",30.5101355206533,-97.5445640162463,80.7830357142857
"660","12 years","A703429","Dog","Labrador Retriever/Beagle","Brown/White",2005-05-25,2017-11-01 16:02:00,"2017-11-01T16:02:00","Duke","","Return to Owner","Intact Male",30.4819283716765,-97.2731564399495,649.095436507936
"661","2 years","A681187","Dog","Pit Bull Mix","Black Brindle/White",2012-06-13,2014-07-27 11:18:00,"2014-07-27T11:18:00","*Dalton","Partner","Transfer","Neutered Male",30.4705198877223,-97.4903083238003,110.63869047619
"662","10 years","A701979","Dog","Labrador Retriever Mix","Tan",2004-11-07,2015-09-26 13:37:00,"2015-09-26T13:37:00","Winnie","Foster","Adoption","Spayed Female",30.7056163346309,-97.2816207562909,567.938194444444
"663","4 years","A675521","Cat","Domestic Shorthair Mix","Cream Tabby",2010-03-28,2014-04-01 14:39:00,"2014-04-01T14:39:00","Dismiss","","Return to Owner","Neutered Male",30.3252466187209,-97.5715716564041,209.372916666667
"664","3 months","A705090","Dog","Miniature Schnauzer Mix","Black",2015-02-13,2015-06-13 12:30:00,"2015-06-13T12:30:00","Stormy","","Return to Owner","Intact Female",30.5428665582603,-97.7220216865572,17.2172619047619
"665","2 years","A702963","Cat","Domestic Shorthair Mix","Blue Tabby/White",2013-05-19,2015-05-20 09:00:00,"2015-05-20T09:00:00","","SCRP","Transfer","Unknown",30.3206963598023,-97.3434110459455,104.482142857143
"666","2 years","A737423","Cat","Domestic Shorthair Mix","Black/White",2014-10-27,2016-11-07 17:00:00,"2016-11-07T17:00:00","Mint","","Return to Owner","Intact Female",30.7274366097772,-97.7127797511593,106.10119047619
"667","5 months","A763704","Dog","German Shepherd Mix","Black/Cream",2017-07-14,2017-12-19 19:01:00,"2017-12-19T19:01:00","Ophelia","","Adoption","Spayed Female",30.4409942376779,-97.3755162882898,22.684623015873
"668","1 year","A699664","Other","Bat","Brown",2014-03-31,2015-03-31 14:53:00,"2015-03-31T14:53:00","","Rabies Risk","Euthanasia","Unknown",30.4320963373417,-97.4285820049225,52.2314484126984
"669","3 years","A672396","Dog","Basset Hound Mix","White/Red",2013-01-09,2016-09-26 00:00:00,"2016-09-26T00:00:00","Layla","Partner","Transfer","Spayed Female",30.5929894688227,-97.4800062771952,193.714285714286
"670","1 year","A695539","Cat","Domestic Shorthair Mix","Brown Tabby/White",2014-01-17,2015-01-18 09:00:00,"2015-01-18T09:00:00","","SCRP","Transfer","Intact Male",30.6488359426267,-97.2462661697841,52.3392857142857
"671","17 years","A547803","Dog","Cocker Spaniel","White/Brown",1996-10-15,2013-10-15 13:29:00,"2013-10-15T13:29:00","Sheba","Suffering","Euthanasia","Spayed Female",30.6777249860468,-97.2955040919378,887.080257936508
"672","9 months","A736038","Dog","Rat Terrier Mix","Black/Tan",2015-12-09,2016-10-03 17:33:00,"2016-10-03T17:33:00","Tank","","Return to Owner","Neutered Male",30.4983738994363,-97.6314322019341,42.81875
"673","0 years","A755172","Dog","Chihuahua Shorthair Mix","White/Black",2017-07-30,2017-07-30 16:51:00,"2017-07-30T16:51:00","","Partner","Transfer","Intact Male",30.6403551775168,-97.3026549387267,0.100297619047619
"674","1 year","A729819","Cat","Domestic Shorthair Mix","Brown Tabby",2015-06-24,2016-06-25 09:00:00,"2016-06-25T09:00:00","","SCRP","Transfer","Intact Female",30.3105153784898,-97.3888682092885,52.4821428571429
"675","2 years","A755091","Dog","Yorkshire Terrier Mix","Tan",2015-07-29,2017-07-29 19:46:00,"2017-07-29T19:46:00","Butters","","Return to Owner","Intact Male",30.3134966477032,-97.311556797168,104.54623015873
"676","1 month","A704906","Cat","Domestic Shorthair Mix","Black",2015-05-10,2015-06-20 12:28:00,"2015-06-20T12:28:00","*Smokey","In Kennel","Died","Intact Female",30.7430328185472,-97.5494595027238,5.93134920634921
"677","3 years","A749514","Cat","Domestic Shorthair Mix","Black",2014-03-19,2017-05-26 11:18:00,"2017-05-26T11:18:00","Indy","","Return to Owner","Neutered Male",30.3533879485738,-97.39103768727,166.352976190476
"678","4 years","A745232","Other","Bat Mix","Brown",2013-03-15,2017-03-15 10:07:00,"2017-03-15T10:07:00","","Rabies Risk","Euthanasia","Unknown",30.2965934670027,-97.415589253614,208.774503968254
"679","2 weeks","A711076","Cat","Domestic Shorthair Mix","Black",2015-08-17,2015-09-03 14:24:00,"2015-09-03T14:24:00","*Janet","Partner","Transfer","Intact Female",30.746415205023,-97.575983629345,2.51428571428571
"680","8 months","A759400","Dog","Staffordshire/Labrador Retriever","White/Black",2017-02-01,2017-10-06 14:17:00,"2017-10-06T14:17:00","*Goose","Partner","Transfer","Neutered Male",30.7293284278703,-97.4283689782834,35.3707341269841
"681","2 months","A759316","Cat","Domestic Shorthair Mix","White/Cream",2017-09-16,2017-11-29 08:47:00,"2017-11-29T08:47:00","*Willie","Foster","Adoption","Neutered Male",30.5255020924059,-97.4726820637062,10.6237103174603
"682","6 years","A677838","Cat","Domestic Shorthair Mix","Calico",2008-04-29,2014-07-22 13:23:00,"2014-07-22T13:23:00","Bella","Foster","Adoption","Spayed Female",30.4226635593057,-97.4002105131396,325.079662698413
"683","6 years","A588404","Dog","Chihuahua Shorthair","Tan/Tan",2009-12-28,2016-07-28 15:12:00,"2016-07-28T15:12:00","Campion","Partner","Transfer","Neutered Male",30.3306491480132,-97.6431889172292,343.519047619048
"684","4 months","A706348","Cat","Domestic Shorthair Mix","Brown Tabby",2015-02-27,2015-07-01 16:46:00,"2015-07-01T16:46:00","","","Adoption","Spayed Female",30.7394681150208,-97.2862286993517,17.8140873015873
"685","1 year","A709515","Cat","Domestic Shorthair Mix","Brown Tabby",2014-08-10,2015-10-08 13:52:00,"2015-10-08T13:52:00","","","Return to Owner","Spayed Female",30.7030729905711,-97.5982222236172,60.6539682539683
"686","1 year","A740771","Dog","Labrador Retriever Mix","Yellow",2015-12-22,2017-07-21 13:02:00,"2017-07-21T13:02:00","*Edmund","","Adoption","Neutered Male",30.423008087446,-97.5731844241368,82.5061507936508
"687","6 months","A722540","Cat","Domestic Shorthair Mix","Calico",2015-09-18,2016-03-29 19:07:00,"2016-03-29T19:07:00","","SCRP","Transfer","Intact Female",30.2725619613731,-97.3754699792268,27.6852182539683
"688","5 years","A666498","Cat","Domestic Longhair Mix","Orange Tabby",2008-11-02,2013-11-30 13:10:00,"2013-11-30T13:10:00","Butters","","Adoption","Neutered Male",30.4745873425146,-97.4400014741635,264.935515873016
"689","3 weeks","A725540","Cat","Domestic Shorthair Mix","Brown Tabby/White",2016-04-08,2016-05-02 13:32:00,"2016-05-02T13:32:00","*Tiny","Partner","Transfer","Intact Male",30.3113367198063,-97.455955825222,3.50912698412698
"690","5 years","A757532","Cat","Siamese Mix","Cream/Blue Point",2012-09-03,2017-09-24 17:12:00,"2017-09-24T17:12:00","Gustavo","","Adoption","Neutered Male",30.5360359085582,-97.477519081926,263.959523809524
"691","2 months","A726250","Cat","Domestic Shorthair Mix","Calico",2016-04-12,2016-06-28 11:50:00,"2016-06-28T11:50:00","*Oblina","","Adoption","Spayed Female",30.572502930335,-97.4988100703063,11.0704365079365
"692","2 months","A748678","Cat","Domestic Shorthair Mix","Brown Tabby/White",2017-04-05,2017-06-17 14:56:00,"2017-06-17T14:56:00","*Maeve","Foster","Adoption","Spayed Female",30.5733768551499,-97.3889979922183,10.5174603174603
"693","10 years","A734701","Dog","Maltese Mix","White",2006-09-11,2016-09-21 00:00:00,"2016-09-21T00:00:00","*Snow","Partner","Transfer","Neutered Male",30.4200771617326,-97.5584697109813,523.285714285714
"694","2 years","A714760","Cat","Domestic Medium Hair Mix","Brown Tabby/White",2013-10-27,2015-10-28 09:00:00,"2015-10-28T09:00:00","Aria","SCRP","Transfer","Spayed Female",30.5616877808364,-97.401210505252,104.482142857143
"695","2 years","A726967","Dog","Jack Russell Terrier Mix","White/Brown",2014-05-17,2016-05-17 18:18:00,"2016-05-17T18:18:00","Sugar","","Return to Owner","Spayed Female",30.4301807322777,-97.6558485963396,104.5375
"696","1 year","A758294","Dog","Pit Bull","Brown Brindle/White",2016-09-13,2017-10-10 19:45:00,"2017-10-10T19:45:00","*Darcie","Partner","Transfer","Intact Female",30.6231368640081,-97.4659025178023,56.1175595238095
"697","2 years","A717547","Dog","American Bulldog Mix","White/Brown Brindle",2013-12-10,2016-08-03 11:54:00,"2016-08-03T11:54:00","Dexter","Foster","Adoption","Neutered Male",30.6623950333889,-97.4334405816167,138.21369047619
"698","3 weeks","A716529","Cat","Domestic Shorthair Mix","Blue",2015-10-29,2015-11-20 15:49:00,"2015-11-20T15:49:00","","Partner","Transfer","Intact Female",30.7463439521601,-97.3223890572107,3.23700396825397
"699","5 months","A709048","Dog","Labrador Retriever Mix","Black/White",2015-02-08,2015-08-08 17:58:00,"2015-08-08T17:58:00","*Libby","","Adoption","Intact Female",30.4381592324616,-97.5168761477021,25.9640873015873
"700","9 years","A680832","Cat","Domestic Longhair Mix","White/Black",2005-06-08,2014-06-12 14:49:00,"2014-06-12T14:49:00","Katy","Partner","Transfer","Spayed Female",30.710921178614,-97.5402757467539,470.231051587302
"701","3 weeks","A747515","Cat","Domestic Shorthair Mix","Orange Tabby",2017-03-29,2017-04-20 19:05:00,"2017-04-20T19:05:00","","Partner","Transfer","Intact Female",30.6948159619186,-97.3411494651074,3.25644841269841
"702","1 month","A760396","Cat","Domestic Shorthair Mix","White/Brown Tabby",2017-09-25,2017-11-06 17:48:00,"2017-11-06T17:48:00","","Partner","Transfer","Intact Female",30.3066652024996,-97.5258662646376,6.10595238095238
"703","1 year","A735218","Dog","Wire Hair Fox Terrier/Dachshund","Black/White",2015-09-20,2016-09-24 17:28:00,"2016-09-24T17:28:00","Alexa","","Return to Owner","Intact Female",30.5703706237797,-97.437996127652,52.9611111111111
"704","3 weeks","A760180","Cat","Domestic Shorthair Mix","Black/White",2017-09-22,2017-10-15 12:37:00,"2017-10-15T12:37:00","","Partner","Transfer","Intact Male",30.4152138549006,-97.4015444302296,3.36081349206349
"705","1 year","A713180","Cat","Domestic Shorthair Mix","Black/White",2014-01-01,2015-10-07 12:41:00,"2015-10-07T12:41:00","Theodore","Partner","Transfer","Neutered Male",30.3428430232841,-97.2865520081541,92.075496031746
"706","4 years","A682524","Dog","Doberman Pinsch/Australian Cattle Dog","Tan/Gray",2010-06-29,2014-07-02 14:16:00,"2014-07-02T14:16:00","Rio","","Return to Owner","Neutered Male",30.7412543587813,-97.5788682933978,209.227777777778
"707","1 year","A682809","Dog","Siberian Husky Mix","Black/White",2013-07-03,2014-07-07 17:55:00,"2014-07-07T17:55:00","","","Adoption","Spayed Female",30.3929662689168,-97.586328969148,52.8209325396825
"708","1 year","A715126","Dog","Rhod Ridgeback Mix","Brown",2015-07-01,2016-10-23 14:29:00,"2016-10-23T14:29:00","Sampson","","Adoption","Neutered Male",30.4414176302608,-97.7150818257781,68.6576388888889
"709","9 months","A699789","Dog","Pbgv Mix","White/Blue",2014-07-02,2015-04-02 17:27:00,"2015-04-02T17:27:00","Crystal","Partner","Transfer","Spayed Female",30.2921768297995,-97.6787384461055,39.2467261904762
"710","11 years","A686208","Cat","Domestic Shorthair Mix","Brown Tabby",2003-08-18,2014-09-07 18:59:00,"2014-09-07T18:59:00","Jaycup","","Adoption","Neutered Male",30.7606402965798,-97.6111856925229,576.970138888889
"711","1 year","A700984","Cat","Domestic Medium Hair Mix","Torbie",2014-04-22,2015-05-25 15:42:00,"2015-05-25T15:42:00","Minnie","Suffering","Euthanasia","Spayed Female",30.6750704346625,-97.3465905349204,56.9505952380952
"712","1 month","A710335","Cat","Domestic Longhair Mix","Blue",2015-07-06,2015-09-05 08:45:00,"2015-09-05T08:45:00","*Rebbie","In Kennel","Died","Intact Male",30.3684417082635,-97.6082781434239,8.76636904761905
"713","6 years","A678887","Dog","Siberian Husky Mix","Black/White",2011-05-13,2017-09-28 00:00:00,"2017-09-28T00:00:00","Jax","Partner","Transfer","Intact Male",30.6671992033329,-97.4191545766255,332.857142857143
"714","2 months","A725000","Cat","Domestic Medium Hair Mix","Black",2016-02-24,2016-04-29 16:13:00,"2016-04-29T16:13:00","","","Adoption","Neutered Male",30.3667484275747,-97.6649294152032,9.38224206349206
"715","4 years","A664841","Dog","Queensland Heeler Mix","Black/White",2009-10-09,2013-10-13 17:18:00,"2013-10-13T17:18:00","Rusty","","Adoption","Neutered Male",30.3841698086755,-97.4866299807851,209.38869047619
"716","1 month","A708059","Cat","Domestic Shorthair Mix","Black/White",2015-06-07,2015-07-25 12:53:00,"2015-07-25T12:53:00","","Partner","Transfer","Intact Female",30.5907294949046,-97.444322971616,6.93382936507937
"717","2 months","A667593","Dog","Australian Cattle Dog Mix","Red Merle/Black",2013-09-20,2013-11-22 18:34:00,"2013-11-22T18:34:00","Kaya","","Adoption","Spayed Female",30.5641563792389,-97.5012225624412,9.11051587301587
"718","5 days","A704820","Other","Bat","Red",2015-06-05,2015-06-10 08:09:00,"2015-06-10T08:09:00","","Rabies Risk","Euthanasia","Unknown",30.6386044127522,-97.5380806274128,0.762797619047619
"719","6 years","A744195","Dog","Jack Russell Terrier Mix","White/Black",2011-02-25,2017-03-01 18:52:00,"2017-03-01T18:52:00","Jack","","Adoption","Neutered Male",30.7341594603681,-97.5020669771356,313.826587301587
"720","1 year","A673496","Cat","Domestic Shorthair Mix","Blue Tabby/White",2013-02-25,2014-03-03 15:36:00,"2014-03-03T15:36:00","","Partner","Transfer","Spayed Female",30.6612792671667,-97.4920436163102,53.0928571428571
"721","7 months","A725530","Dog","Pit Bull Mix","Brown Brindle/White",2015-10-30,2016-06-09 14:50:00,"2016-06-09T14:50:00","King","","Adoption","Neutered Male",30.3055255064021,-97.3713962551111,31.9454365079365
"722","2 years","A749607","Dog","Labrador Retriever Mix","Black",2015-05-17,2017-05-29 15:07:00,"2017-05-29T15:07:00","Maverick","","Adoption","Neutered Male",30.6260363284324,-97.4435183383874,106.232837301587
"723","10 months","A720531","Cat","Domestic Shorthair Mix","Black/White",2015-04-11,2016-02-21 15:48:00,"2016-02-21T15:48:00","*Patrick","","Adoption","Neutered Male",30.4195662900077,-97.7043042651494,45.2369047619048
"724","4 months","A675568","Dog","Chihuahua Shorthair Mix","Brown/White",2013-11-18,2014-04-03 17:53:00,"2014-04-03T17:53:00","Buddy","","Adoption","Neutered Male",30.708106432952,-97.3499268421422,19.5350198412698
"725","8 months","A763178","Dog","Chihuahua Shorthair Mix","Sable/White",2017-04-04,2017-12-06 16:09:00,"2017-12-06T16:09:00","Lilly","","Adoption","Spayed Female",30.4613685955803,-97.3817858238458,35.2389880952381
"726","2 months","A700104","Dog","Belgian Malinois Mix","Blue/Yellow Brindle",2015-01-24,2015-04-12 17:12:00,"2015-04-12T17:12:00","","","Adoption","Spayed Female",30.5853992484331,-97.6510775359657,11.2452380952381
"727","1 year","A760439","Dog","Labrador Retriever Mix","Brown Brindle",2016-10-18,2018-01-05 19:09:00,"2018-01-05T19:09:00","*Mars","","Adoption","Neutered Male",30.3265825265979,-97.3743917660904,63.5425595238095
"728","3 months","A753627","Cat","Domestic Shorthair Mix","Black",2017-06-17,2017-09-17 17:53:00,"2017-09-17T17:53:00","*Paddy","","Adoption","Neutered Male",30.4942102647114,-97.5072174696585,13.2493055555556
"729","4 years","A743907","Dog","Chihuahua Shorthair Mix","Black/Tan",2013-02-24,2017-02-24 17:03:00,"2017-02-24T17:03:00","*Artemis","","Adoption","Neutered Male",30.5205660989028,-97.6095562756069,208.815773809524
"730","2 years","A720411","Cat","Domestic Shorthair Mix","Black",2013-08-09,2016-02-13 14:15:00,"2016-02-13T14:15:00","Leonard","","Return to Owner","Neutered Male",30.6681217621386,-97.253814513589,131.227678571429
"731","5 years","A713461","Dog","Labrador Retriever Mix","Chocolate",2010-10-07,2015-12-12 00:00:00,"2015-12-12T00:00:00","*Mary","Partner","Transfer","Spayed Female",30.3906514299086,-97.6012721681849,270.285714285714
"732","2 years","A749782","Dog","Labrador Retriever Mix","Tan/White",2015-05-19,2017-07-25 14:59:00,"2017-07-25T14:59:00","*Catalina","","Return to Owner","Intact Female",30.6138310636757,-97.5752164857665,114.089186507937
"733","2 weeks","A749502","Cat","Domestic Shorthair Mix","Blue Tabby",2017-04-30,2017-05-15 19:18:00,"2017-05-15T19:18:00","","Partner","Transfer","Unknown",30.6255802328018,-97.2919961839898,2.2577380952381
"734","2 years","A667779","Dog","Pit Bull/Pug","White/Black",2011-11-22,2013-12-23 12:50:00,"2013-12-23T12:50:00","Dottie","","Adoption","Spayed Female",30.5803785699769,-97.6481676775073,108.933531746032
"735","4 years","A754963","Dog","Shih Tzu Mix","Tan/Black",2013-07-27,2017-07-28 17:06:00,"2017-07-28T17:06:00","Tootsie","Partner","Transfer","Intact Female",30.3580906492611,-97.3125585137771,208.958928571429
"736","6 months","A753276","Cat","Domestic Shorthair Mix","Black",2016-12-04,2017-07-04 13:33:00,"2017-07-04T13:33:00","Chopin","","Return to Owner","Neutered Male",30.5326944438794,-97.6861825746806,30.366369047619
"737","2 months","A694472","Cat","Domestic Shorthair Mix","Brown Tabby",2014-12-26,2015-03-26 07:36:00,"2015-03-26T07:36:00","*Thing 3","Foster","Adoption","Spayed Female",30.650083836806,-97.6050902668864,12.902380952381
"738","2 months","A727427","Cat","Domestic Shorthair Mix","Black",2016-04-26,2016-07-09 17:26:00,"2016-07-09T17:26:00","*Baxter","Foster","Adoption","Neutered Male",30.3352005187983,-97.7288047256039,10.6751984126984
"739","3 months","A730891","Cat","Domestic Medium Hair Mix","Orange Tabby",2016-03-28,2016-07-15 18:26:00,"2016-07-15T18:26:00","Crush","","Adoption","Neutered Male",30.3968651977526,-97.5254999055748,15.6811507936508
"740","10 years","A564617","Dog","Akita Mix","Brown/Black",2005-01-11,2015-07-20 15:09:00,"2015-07-20T15:09:00","Bella","Partner","Transfer","Spayed Female",30.6490037556875,-97.5500072068544,548.947321428571
"741","4 months","A700918","Dog","Chihuahua Shorthair/Dachshund","Brown Brindle",2014-11-29,2015-04-21 15:16:00,"2015-04-21T15:16:00","Stephon","","Return to Owner","Neutered Male",30.4368011884508,-97.6751821818429,20.5194444444444
"742","1 year","A736089","Dog","Chihuahua Shorthair/Rat Terrier","Tricolor",2015-10-03,2016-10-10 15:30:00,"2016-10-10T15:30:00","*Ramona","","Adoption","Spayed Female",30.6851920050124,-97.5226504136799,53.3779761904762
"743","1 year","A714551","Cat","Domestic Shorthair Mix","Black",2015-09-19,2017-04-02 16:13:00,"2017-04-02T16:13:00","Squish","","Adoption","Neutered Male",30.640023769052,-97.4265359931449,80.2393849206349
"744","1 year","A686863","Other","Raccoon","Gray/Black",2013-08-28,2014-08-28 10:24:00,"2014-08-28T10:24:00","","Medical","Euthanasia","Unknown",30.579995779573,-97.5817374782251,52.2047619047619
"745","1 year","A732802","Cat","Domestic Shorthair Mix","Black",2016-06-25,2017-08-14 19:15:00,"2017-08-14T19:15:00","*Radar","","Adoption","Neutered Male",30.724985866416,-97.3042885097477,59.4002976190476
"746","1 year","A718805","Other","Bat Mix","Brown",2015-01-07,2016-01-07 15:44:00,"2016-01-07T15:44:00","","Rabies Risk","Euthanasia","Unknown",30.5217499861726,-97.6862816477895,52.2365079365079
"747","1 year","A689658","Dog","Miniature Poodle Mix","Gray",2013-10-07,2014-10-11 19:06:00,"2014-10-11T19:06:00","","","Adoption","Spayed Female",30.6754202834961,-97.6058200150388,52.8279761904762
"748","2 years","A752657","Dog","Tibetan Spaniel Mix","Red",2015-06-25,2017-06-29 16:10:00,"2017-06-29T16:10:00","Bella","","Adoption","Spayed Female",30.5250207871499,-97.6297952386167,105.09623015873
"749","3 years","A684115","Cat","Domestic Shorthair Mix","Cream Tabby/White",2011-07-19,2014-08-11 15:17:00,"2014-08-11T15:17:00","*Snowcream","Partner","Transfer","Neutered Male",30.467267846151,-97.5764307290814,159.948115079365
"750","6 months","A700807","Other","Bat","Brown",2014-10-19,2015-04-20 10:16:00,"2015-04-20T10:16:00","","Rabies Risk","Euthanasia","Unknown",30.3605156821341,-97.4740336909581,26.2039682539683
"751","2 months","A664185","Cat","Domestic Shorthair Mix","Black",2013-08-12,2013-11-09 15:32:00,"2013-11-09T15:32:00","Sparky","","Adoption","Neutered Male",30.3382012606619,-97.3643269623895,12.806746031746
"752","2 years","A689279","Dog","Rat Terrier Mix","White/Brown",2013-04-01,2015-08-05 16:29:00,"2015-08-05T16:29:00","Wren","","Return to Owner","Spayed Female",30.3048125880968,-97.5750411833499,122.383829365079
"753","2 weeks","A751930","Cat","Domestic Shorthair Mix","Blue",2017-05-31,2017-06-17 14:58:00,"2017-06-17T14:58:00","","Partner","Transfer","Intact Female",30.2907349525695,-97.6552527949813,2.51765873015873
"754","2 days","A721164","Cat","Domestic Shorthair Mix","Black/White",2016-02-20,2016-02-22 15:36:00,"2016-02-22T15:36:00","","Partner","Transfer","Unknown",30.4800299552311,-97.2973434271466,0.378571428571429
"755","5 days","A731853","Cat","Domestic Shorthair Mix","Black/White",2016-07-23,2016-07-28 14:42:00,"2016-07-28T14:42:00","","Partner","Transfer","Unknown",30.2838948357371,-97.2737427241029,0.801785714285714
"756","5 years","A742105","Dog","American Eskimo/Alaskan Husky","White",2012-01-14,2017-01-15 12:34:00,"2017-01-15T12:34:00","Sky","","Return to Owner","Spayed Female",30.637722234217,-97.5057923695287,261.217658730159
"757","2 weeks","A757053","Cat","Domestic Shorthair Mix","Black",2017-08-14,2017-08-29 00:00:00,"2017-08-29T00:00:00","","Partner","Transfer","Intact Male",30.3376490042689,-97.3324936961699,2.14285714285714
"758","12 years","A682982","Dog","Miniature Schnauzer/Miniature Poodle","Gray",2002-08-09,2014-09-06 14:44:00,"2014-09-06T14:44:00","*Eleanor","Foster","Adoption","Spayed Female",30.5652029645967,-97.3543494515901,630.230555555556
"759","8 years","A555413","Dog","Dachshund Mix","Brown",2007-05-18,2015-06-04 16:46:00,"2015-06-04T16:46:00","Peewee","","Return to Owner","Neutered Male",30.7091740659298,-97.4954230125973,419.956944444444
"760","2 years","A679473","Dog","Labrador Retriever Mix","Yellow",2012-05-21,2014-05-23 15:18:00,"2014-05-23T15:18:00","Thor","","Return to Owner","Neutered Male",30.397708584232,-97.6131286202234,104.6625
"761","4 years","A679583","Cat","Domestic Shorthair Mix","Tortie",2010-05-23,2014-05-29 19:08:00,"2014-05-29T19:08:00","Fanny","SCRP","Transfer","Intact Female",30.6357372282389,-97.6014752765571,209.685317460317
"762","2 years","A741404","Dog","Pit Bull Mix","Blue/White",2015-01-01,2017-01-03 18:10:00,"2017-01-03T18:10:00","Squishy","","Return to Owner","Neutered Male",30.7626375117111,-97.532347766435,104.822420634921
"763","1 year","A693856","Dog","Pit Bull Mix","Black/Tan",2013-12-15,2014-12-18 18:45:00,"2014-12-18T18:45:00","Jizzle","","Return to Owner","Neutered Male",30.3185575642225,-97.5444828842699,52.6830357142857
"764","1 year","A758011","Other","Guinea Pig","White/Brown",2016-09-10,2017-09-14 15:26:00,"2017-09-14T15:26:00","","Partner","Transfer","Unknown",30.434562552609,-97.5850334748859,52.8061507936508
"765","5 days","A746936","Dog","Chihuahua Shorthair Mix","Brown/White",2017-04-06,2017-04-11 18:06:00,"2017-04-11T18:06:00","","Partner","Transfer","Intact Male",30.6157149225711,-97.624927837746,0.822023809523809
